"StartDate","EndDate","Status","IPAddress","Progress","Duration (in seconds)","Finished","RecordedDate","ResponseId","RecipientLastName","RecipientFirstName","RecipientEmail","ExternalReference","DistributionChannel","UserLanguage","intro","joaff3","joaff4","joagg3","joagg4","joinc3","joinc4","jonon3","jorew2","jorew3","joself3","josex2","josex3","imgaff5","imgagg5","imginc5","imgnon4","imgnon5","imgrew4","imgrew5","imgself4","imgself5","imgsex4","imgsex5","vidaff1","vidaff2","vidagg1","vidagg2","vidinc1","vidinc2","vidnon2","vidrew1","vidrew2","vidsex1","vidself2","vidnon1","attention_check","cheerfulness_4","measure_25","measure_26","measure_27","measure_28","measure_29","measure_30","measure_31","measure_32","measure_33","measure_34","measure_35","measure_36","measure_37","measure_38","measure_39","measure_40","measure_41","gender","age","techissues","vidaudCHECK","comment"
"Start Date","End Date","Response Type","IP0.14908577798291","Progress","Duration (in seconds)","Finished","Recorded Date","ID0.00909165358638633","Recipient Last Name","Recipient First Name","Recipient Email","External Data Reference","Distribution Channel","User Language","Thank you for participating again! 

In this study, we will ask you once again to provide ratings of several jokes, cartoons, and videos.

 
Information about the study 

 

This study is being conducted by the Department of Social Psychology at Tilburg University. The intention of this study is to research and gain knowledge on how people rate humorous content. This study will take approximately 10-15 minutes to complete.

 

Participation, Benefits and Risks 

Participation in this research study is completely voluntary. You have the right to withdraw at any time or refuse to participate entirely without providing any explanation. If you desire to withdraw, please simply close your internet browser. There will be no negative consequences if you withdraw or refuse to participate. Risks are minimal for involvement in this study. It is very unlikely that participating in this study would affects you in a negative way emotionally or otherwise. The content of the study was screened beforehand to ensure that no offensive or unpleasant content is featured. 



Requirements

To participate in this study, you need to be at least 18 years old. 



Confidentiality 

All data obtained from participants will be kept anonymous. There will be no record that links the data collected from you with any personal data from which you could be identified (e.g.,your name, address, email, etc.). The anonymous data may be made available to researchers via accessible data repositories and possibly used for novel purposes. The data will be stored for at least 10 years. If you have questions regarding this study, you may contact the researcher Hannes Rosenbusch at h.rosenbusch@tilburguniversity.edu. This study has received approval from the Tilburg School of Behavioral Sciences’ Ethical Review Board. If you have any remarks or complaints regarding this research, you may also contact the Ethics Review Board of Tilburg School of Social and Behavioral Sciences via erb@tilburguniversity.edu. 



Thank you for taking the time to participate in this study!","How funny is this joke?
 

You are like dandruff because I just cannot get you out of my head no matter how hard I try.","How funny is this joke?


Why did the bee marry? He’s finally found his honey.","How funny is this joke?

 

Don't hate me because I'm beautiful. Hate me because your boyfriend thinks so.","How funny is this joke?

 

I'm not saying I hate you, but I would unplug your life support to charge my phone.","How funny is this joke?

 


Knock! Knock! Who's there? Voodoo. Voodoo who? Voodoo you think you are, asking all these questions?","How funny is this joke?

 


I hate it when people come and bang on your door spouting nonsense like, """"""""""""""""You need to be saved or you'll burn!""""""""""""""""Stupid firemen...","How funny is this joke?

 


*takes your order *goes to kitchen *comes back *""""""""""""""""did you say grilled cheese or gorilla cheese?""""""""""""""""*""""""""""""""""grilled"""""""""""""""" *sighs *goes to kitchen","How funny is this joke?

 

Can a kangaroo jump higher than the Empire State Building?Of course. The Empire State Building can't jump.","How funny is this joke?

 

Two guys stole a calendar. They got six months each.","How funny is this joke?
“I’m great at multitasking. I can waste time, be unproductive, and procrastinate all at once.”","How funny is this joke?
What’s the difference between a G-spot and a golf ball? A man will actually search for a golf ball.","How funny is this joke?
Why does the mermaid wear seashells? She outgrew her b-shells!","How funny is this image?","How funny is this image?","How funny is this image?","How funny is this image?","How funny is this image?","How funny is this image?","How funny is this image?","How funny is this image?","How funny is this image?","How funny is this image?","How funny is this image?","How funny is this video? (Please click play.)","How funny is this video? (Please click play.)","How funny is this video? (Please click play.)","How funny is this video? (Please click play.)","How funny is this video? (Please click play.)","How funny is this video? (Please click play.)","How funny is this video? (Please click play.)","How funny is this video? (Please click play.)","How funny is this video? (Please click play.)","How funny is this video? (Please click play.)","How funny is this video? (Please click play.)","How funny is this video? (Please click play.)","Which briefcase was chosen in the last video?","Please indicate how well these statements describe you. - I feel gloomy.","Please indicate how well these statements describe you. - I am set for serious things.","Please indicate how well these statements describe you. - I am cheerful.","Please indicate how well these statements describe you. - I have important things on my mind.","Please indicate how well these statements describe you. - I am in a crabby mood.","Please indicate how well these statements describe you. - I am sad.","Please indicate how well these statements describe you. - I am ready to have some fun.","Please indicate how well these statements describe you. - I have a serious mental attitude.","Please indicate how well these statements describe you. - I could laugh at the drop of a hat.","Please indicate how well these statements describe you. - I am peeved.","Please indicate how well these statements describe you. - I'm walking on air.","Please indicate how well these statements describe you. - I regard my situation objectively and soberly.","Please indicate how well these statements describe you. - I am amused.","Please indicate how well these statements describe you. - I am in a serious frame of mind.","Please indicate how well these statements describe you. - I am in a thoughtful mood.","Please indicate how well these statements describe you. - I feel dejected.","Please indicate how well these statements describe you. - I am delighted.","Please indicate how well these statements describe you. - I feel grouchy","What is  your gender?","What is your age?","Did you have technical issues during the survey?","Did you watch all the videos and listen to the audio?","If you have comments that you want to share, please enter them here."
"{""""""""""""""""ImportId"""""""""""""""":""""""""""""""""startDate"""""""""""""""",""""""""""""""""timeZone"""""""""""""""":""""""""""""""""America/Denver""""""""""""""""}","{""""""""""""""""ImportId"""""""""""""""":""""""""""""""""endDate"""""""""""""""",""""""""""""""""timeZone"""""""""""""""":""""""""""""""""America/Denver""""""""""""""""}","{""""""""""""""""ImportId"""""""""""""""":""""""""""""""""status""""""""""""""""}","IP1.01150807464842","{""""""""""""""""ImportId"""""""""""""""":""""""""""""""""progress""""""""""""""""}","{""""""""""""""""ImportId"""""""""""""""":""""""""""""""""duration""""""""""""""""}","{""""""""""""""""ImportId"""""""""""""""":""""""""""""""""finished""""""""""""""""}","{""""""""""""""""ImportId"""""""""""""""":""""""""""""""""recordedDate"""""""""""""""",""""""""""""""""timeZone"""""""""""""""":""""""""""""""""America/Denver""""""""""""""""}","ID-0.534806921225097","{""""""""""""""""ImportId"""""""""""""""":""""""""""""""""recipientLastName""""""""""""""""}","{""""""""""""""""ImportId"""""""""""""""":""""""""""""""""recipientFirstName""""""""""""""""}","{""""""""""""""""ImportId"""""""""""""""":""""""""""""""""recipientEmail""""""""""""""""}","{""""""""""""""""ImportId"""""""""""""""":""""""""""""""""externalDataReference""""""""""""""""}","{""""""""""""""""ImportId"""""""""""""""":""""""""""""""""distributionChannel""""""""""""""""}","{""""""""""""""""ImportId"""""""""""""""":""""""""""""""""userLanguage""""""""""""""""}","{""""""""""""""""ImportId"""""""""""""""":""""""""""""""""QID37""""""""""""""""}","{""""""""""""""""ImportId"""""""""""""""":""""""""""""""""QID26""""""""""""""""}","{""""""""""""""""ImportId"""""""""""""""":""""""""""""""""QID27""""""""""""""""}","{""""""""""""""""ImportId"""""""""""""""":""""""""""""""""QID28""""""""""""""""}","{""""""""""""""""ImportId"""""""""""""""":""""""""""""""""QID29""""""""""""""""}","{""""""""""""""""ImportId"""""""""""""""":""""""""""""""""QID30""""""""""""""""}","{""""""""""""""""ImportId"""""""""""""""":""""""""""""""""QID31""""""""""""""""}","{""""""""""""""""ImportId"""""""""""""""":""""""""""""""""QID32""""""""""""""""}","{""""""""""""""""ImportId"""""""""""""""":""""""""""""""""QID33""""""""""""""""}","{""""""""""""""""ImportId"""""""""""""""":""""""""""""""""QID34""""""""""""""""}","{""""""""""""""""ImportId"""""""""""""""":""""""""""""""""QID35""""""""""""""""}","{""""""""""""""""ImportId"""""""""""""""":""""""""""""""""QID36""""""""""""""""}","{""""""""""""""""ImportId"""""""""""""""":""""""""""""""""QID52""""""""""""""""}","{""""""""""""""""ImportId"""""""""""""""":""""""""""""""""QID1""""""""""""""""}","{""""""""""""""""ImportId"""""""""""""""":""""""""""""""""QID2""""""""""""""""}","{""""""""""""""""ImportId"""""""""""""""":""""""""""""""""QID3""""""""""""""""}","{""""""""""""""""ImportId"""""""""""""""":""""""""""""""""QID4""""""""""""""""}","{""""""""""""""""ImportId"""""""""""""""":""""""""""""""""QID5""""""""""""""""}","{""""""""""""""""ImportId"""""""""""""""":""""""""""""""""QID6""""""""""""""""}","{""""""""""""""""ImportId"""""""""""""""":""""""""""""""""QID7""""""""""""""""}","{""""""""""""""""ImportId"""""""""""""""":""""""""""""""""QID8""""""""""""""""}","{""""""""""""""""ImportId"""""""""""""""":""""""""""""""""QID9""""""""""""""""}","{""""""""""""""""ImportId"""""""""""""""":""""""""""""""""QID10""""""""""""""""}","{""""""""""""""""ImportId"""""""""""""""":""""""""""""""""QID11""""""""""""""""}","{""""""""""""""""ImportId"""""""""""""""":""""""""""""""""QID12""""""""""""""""}","{""""""""""""""""ImportId"""""""""""""""":""""""""""""""""QID60""""""""""""""""}","{""""""""""""""""ImportId"""""""""""""""":""""""""""""""""QID63""""""""""""""""}","{""""""""""""""""ImportId"""""""""""""""":""""""""""""""""QID61""""""""""""""""}","{""""""""""""""""ImportId"""""""""""""""":""""""""""""""""QID62""""""""""""""""}","{""""""""""""""""ImportId"""""""""""""""":""""""""""""""""QID64""""""""""""""""}","{""""""""""""""""ImportId"""""""""""""""":""""""""""""""""QID66""""""""""""""""}","{""""""""""""""""ImportId"""""""""""""""":""""""""""""""""QID67""""""""""""""""}","{""""""""""""""""ImportId"""""""""""""""":""""""""""""""""QID68""""""""""""""""}","{""""""""""""""""ImportId"""""""""""""""":""""""""""""""""QID70""""""""""""""""}","{""""""""""""""""ImportId"""""""""""""""":""""""""""""""""QID69""""""""""""""""}","{""""""""""""""""ImportId"""""""""""""""":""""""""""""""""QID65""""""""""""""""}","{""""""""""""""""ImportId"""""""""""""""":""""""""""""""""QID48""""""""""""""""}","{""""""""""""""""ImportId"""""""""""""""":""""""""""""""""QID44_4""""""""""""""""}","{""""""""""""""""ImportId"""""""""""""""":""""""""""""""""QID44_25""""""""""""""""}","{""""""""""""""""ImportId"""""""""""""""":""""""""""""""""QID44_26""""""""""""""""}","{""""""""""""""""ImportId"""""""""""""""":""""""""""""""""QID44_27""""""""""""""""}","{""""""""""""""""ImportId"""""""""""""""":""""""""""""""""QID44_28""""""""""""""""}","{""""""""""""""""ImportId"""""""""""""""":""""""""""""""""QID44_29""""""""""""""""}","{""""""""""""""""ImportId"""""""""""""""":""""""""""""""""QID44_30""""""""""""""""}","{""""""""""""""""ImportId"""""""""""""""":""""""""""""""""QID44_31""""""""""""""""}","{""""""""""""""""ImportId"""""""""""""""":""""""""""""""""QID44_32""""""""""""""""}","{""""""""""""""""ImportId"""""""""""""""":""""""""""""""""QID44_33""""""""""""""""}","{""""""""""""""""ImportId"""""""""""""""":""""""""""""""""QID44_34""""""""""""""""}","{""""""""""""""""ImportId"""""""""""""""":""""""""""""""""QID44_35""""""""""""""""}","{""""""""""""""""ImportId"""""""""""""""":""""""""""""""""QID44_36""""""""""""""""}","{""""""""""""""""ImportId"""""""""""""""":""""""""""""""""QID44_37""""""""""""""""}","{""""""""""""""""ImportId"""""""""""""""":""""""""""""""""QID44_38""""""""""""""""}","{""""""""""""""""ImportId"""""""""""""""":""""""""""""""""QID44_39""""""""""""""""}","{""""""""""""""""ImportId"""""""""""""""":""""""""""""""""QID44_40""""""""""""""""}","{""""""""""""""""ImportId"""""""""""""""":""""""""""""""""QID44_41""""""""""""""""}","{""""""""""""""""ImportId"""""""""""""""":""""""""""""""""QID39""""""""""""""""}","{""""""""""""""""ImportId"""""""""""""""":""""""""""""""""QID40_TEXT""""""""""""""""}","{""""""""""""""""ImportId"""""""""""""""":""""""""""""""""QID45""""""""""""""""}","{""""""""""""""""ImportId"""""""""""""""":""""""""""""""""QID47""""""""""""""""}","{""""""""""""""""ImportId"""""""""""""""":""""""""""""""""QID43_TEXT""""""""""""""""}"
"2021-02-20 17:34:00","2021-02-20 17:47:28","1","IP-0.258152047648518","100","807","1","2021-02-20 17:47:30","ID0.143159567569171","","","","","preview","EN","4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2","","","","","","","","","","","","","","","","","","","7","999","","3",""
"2021-02-20 17:54:35","2021-02-20 18:05:10","0","IP-0.397043798168688","100","635","1","2021-02-20 18:05:10","ID-0.11857962934419","","","","","anonymous","EN","4","1","2","1","2","1","6","2","1","3","6","5","1","5","6","2","5","4","7","5","7","6","5","5","5","1","6","6","2","3","7","6","1","2","2","1","2","3","2","2","4","3","3","2","3","1","3","1","4","1","2","3","3","2","3","4","20","1","1",""
"2021-02-20 17:54:25","2021-02-20 18:05:50","0","IP0.492738088282793","100","685","1","2021-02-20 18:05:50","ID1.92318380917519","","","","","anonymous","EN","4","3","5","5","1","5","5","2","7","5","6","4","6","6","5","6","1","3","2","5","4","7","6","5","5","2","6","1","4","2","5","7","5","7","2","5","2","3","1","3","4","3","2","3","3","3","2","1","3","3","1","2","3","2","3","4","19","1","1",""
"2021-02-20 17:54:43","2021-02-20 18:06:34","0","IP1.14084748310066","100","711","1","2021-02-20 18:06:35","ID0.813353902999074","","","","","anonymous","EN","4","2","5","6","5","1","5","5","3","2","6","2","2","4","5","5","3","2","7","5","6","3","5","1","4","3","6","5","2","2","5","3","4","3","3","4","","1","1","4","3","1","1","3","3","2","1","1","1","3","2","3","1","3","1","5","24","1","1",""
"2021-02-20 17:54:34","2021-02-20 18:08:57","0","IP0.206015815733643","100","863","1","2021-02-20 18:08:58","ID-0.847238535317236","","","","","anonymous","EN","4","5","5","5","6","4","7","6","6","6","6","7","4","6","7","7","5","5","6","7","6","6","7","7","7","4","7","5","5","6","6","7","5","6","6","7","2","1","2","3","2","1","1","3","2","3","3","1","4","4","1","3","1","4","1","5","34","1","1","Awesome survey, thank you for the follow up. Would gladly do these as often as I could.

Cheers"
"2021-02-20 17:57:11","2021-02-20 18:20:06","0","IP1.25044918862559","100","1374","1","2021-02-20 18:20:06","ID-0.868970209613845","","","","","anonymous","EN","4","2","6","1","3","4","5","3","6","5","5","4","5","3","5","6","1","3","1","5","2","4","1","6","5","1","1","1","5","1","7","4","5","3","6","3","2","3","2","3","3","2","3","2","3","1","2","1","4","2","3","3","4","2","3","5","58","1","1","Hi I hope I didnt contridct myself from the last time and good luck with your work"
"2021-02-20 18:10:46","2021-02-20 18:22:48","0","IP-1.6219700713728","100","721","1","2021-02-20 18:22:48","ID-0.219604428840695","","","","","anonymous","EN","4","1","1","1","2","1","1","1","1","2","1","7","7","1","1","1","7","1","5","1","6","1","4","1","4","1","6","1","7","1","3","1","1","5","1","1","2","1","1","3","4","1","3","3","2","4","1","1","2","4","1","3","1","2","2","4","18","1","1",""
"2021-02-20 18:11:30","2021-02-20 18:23:06","0","IP-0.508157074694431","100","695","1","2021-02-20 18:23:06","ID0.669777382634458","","","","","anonymous","EN","4","2","5","3","6","3","4","1","1","5","1","5","2","3","4","6","1","6","2","6","7","5","6","3","5","7","6","6","5","1","5","7","6","2","5","7","2","1","3","4","2","1","1","3","2","3","2","2","4","4","1","4","1","4","1","5","26","1","1","N/A"
