STATION;DATE;LATITUDE;LONGITUDE;TAVG;TMAX;TMIN
NLE00152485;1951;52.3156;4.7903;9.59;12.73;6.44
NLE00152485;1952;52.3156;4.7903;8.88;12.09;5.66
NLE00152485;1953;52.3156;4.7903;9.78;12.95;6.61
NLE00152485;1954;52.3156;4.7903;8.93;11.99;5.88
NLE00152485;1955;52.3156;4.7903;8.76;12.12;5.39
NLE00152485;1956;52.3156;4.7903;8.15;11.29;5.00
NLE00152485;1957;52.3156;4.7903;9.89;12.95;6.84
NLE00152485;1958;52.3156;4.7903;9.34;12.37;6.32
NLE00152485;1959;52.3156;4.7903;10.24;13.93;6.54
NLE00152485;1960;52.3156;4.7903;9.86;12.87;6.84
NLE00152485;1961;52.3156;4.7903;9.95;13.15;6.75
NLE00152485;1962;52.3156;4.7903;8.17;11.19;5.15
NLE00152485;1963;52.3156;4.7903;7.95;11.08;4.82
NLE00152485;1964;52.3156;4.7903;9.35;12.46;6.24
NLE00152485;1965;52.3156;4.7903;8.76;11.98;5.55
NLE00152485;1966;52.3156;4.7903;9.48;12.44;6.51
NLE00152485;1967;52.3156;4.7903;9.66;12.83;6.50
NLE00152485;1968;52.3156;4.7903;9.16;12.23;6.09
NLE00152485;1969;52.3156;4.7903;9.11;12.42;5.80
NLE00152485;1970;52.3156;4.7903;9.04;12.28;5.80
NLE00152485;1971;52.3156;4.7903;9.52;13.19;5.85
NLE00152485;1972;52.3156;4.7903;8.93;12.44;5.43
NLE00152485;1973;52.3156;4.7903;9.70;13.40;6.01
NLE00152485;1974;52.3156;4.7903;10.03;13.48;6.57
NLE00152485;1975;52.3156;4.7903;10.08;13.56;6.60
NLE00152485;1976;52.3156;4.7903;9.88;13.62;6.14
NLE00152485;1977;52.3156;4.7903;9.89;13.38;6.39
NLE00152485;1978;52.3156;4.7903;9.00;12.33;5.68
NLE00152485;1979;52.3156;4.7903;8.51;11.99;5.02
NLE00152485;1980;52.3156;4.7903;9.35;12.97;5.72
NLE00152485;1981;52.3156;4.7903;9.33;12.89;5.78
NLE00152485;1982;52.3156;4.7903;10.05;13.92;6.17
NLE00152485;1983;52.3156;4.7903;9.85;13.70;6.01
NLE00152485;1984;52.3156;4.7903;9.30;12.86;5.74
NLE00152485;1985;52.3156;4.7903;8.44;12.14;4.75
NLE00152485;1986;52.3156;4.7903;8.80;12.73;4.87
NLE00152485;1987;52.3156;4.7903;8.93;12.61;5.25
NLE00152485;1988;52.3156;4.7903;10.33;13.82;6.83
NLE00152485;1989;52.3156;4.7903;10.63;14.76;6.50
NLE00152485;1990;52.3156;4.7903;10.68;14.70;6.65
NLE00152485;1991;52.3156;4.7903;9.24;13.07;5.42
NLE00152485;1992;52.3156;4.7903;10.48;14.22;6.74
NLE00152485;1993;52.3156;4.7903;9.52;13.18;5.85
NLE00152485;1994;52.3156;4.7903;10.40;14.12;6.69
NLE00152485;1995;52.3156;4.7903;10.38;14.15;6.60
NLE00152485;1996;52.3156;4.7903;8.45;12.19;4.71
NLE00152485;1997;52.3156;4.7903;10.15;13.92;6.38
NLE00152485;1998;52.3156;4.7903;10.51;13.80;7.22
NLE00152485;1999;52.3156;4.7903;10.97;14.50;7.45
NLE00152485;2000;52.3156;4.7903;10.92;14.15;7.69
NLE00152485;2001;52.3156;4.7903;10.54;13.89;7.19
NLE00152485;2002;52.3156;4.7903;10.88;14.31;7.45
NLE00152485;2003;52.3156;4.7903;10.53;14.69;6.37
NLE00152485;2004;52.3156;4.7903;10.62;14.33;6.91
NLE00152485;2005;52.3156;4.7903;10.89;14.54;7.24
NLE00152485;2006;52.3156;4.7903;11.24;14.90;7.58
NLE00152485;2007;52.3156;4.7903;11.36;15.02;7.71
NLE00152485;2008;52.3156;4.7903;10.62;14.29;6.95
NLE00152485;2009;52.3156;4.7903;10.55;14.41;6.70
NLE00152485;2010;52.3156;4.7903;8.98;12.76;5.19
NLE00152485;2011;52.3156;4.7903;10.98;14.80;7.16
NLE00152485;2012;52.3156;4.7903;10.24;13.96;6.53
NLE00152485;2013;52.3156;4.7903;9.77;13.50;6.05
NLE00152485;2014;52.3156;4.7903;11.72;15.49;7.95
NLE00152485;2015;52.3156;4.7903;10.83;14.66;7.01
NLE00152485;2016;52.3156;4.7903;10.81;14.61;7.01
NLE00152485;2017;52.3156;4.7903;10.95;14.75;7.15
NLE00152485;2018;52.3156;4.7903;11.37;15.44;7.30
NLE00152485;2019;52.3156;4.7903;11.22;15.22;7.22
NLE00152485;2020;52.3156;4.7903;11.67;15.59;7.75
NLE00152485;2021;52.3156;4.7903;10.48;14.26;6.69
NLE00152485;2022;52.3156;4.7903;11.63;15.70;7.55
NLE00152485;2023;52.3156;4.7903;11.85;15.38;8.31
NLE00152485;2024;52.3156;4.7903;11.88;15.41;8.35
NLE00152485;2025;52.3156;4.7903;11.62;15.57;7.67
